id,uploader,modifier,source_name,regulator_symbol,regulator_locus_tag,condition,data_usable,preferred_replicate,batch,lab,assay,source_orig_id,upload_date,modified_date,file,single_binding,composite_binding,promoter,background,fileformat
279,chasem,chasem,harbison_chip,SKO1,YNL167C,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:55:26.157412-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/279.csv.gz,279,NA,NA,NA,1
281,chasem,chasem,harbison_chip,GCR2,YNL199C,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:55:27.482430-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/281.csv.gz,281,NA,NA,NA,1
283,chasem,chasem,harbison_chip,RAP1,YNL216W,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:55:28.971777-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/283.csv.gz,283,NA,NA,NA,1
284,chasem,chasem,harbison_chip,SIP3,YNL257C,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:55:29.669942-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/284.csv.gz,284,NA,NA,NA,1
285,chasem,chasem,harbison_chip,STB1,YNL309W,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:55:30.701485-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/285.csv.gz,285,NA,NA,NA,1
288,chasem,chasem,harbison_chip,DAL82,YNL314W,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:55:32.947948-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/288.csv.gz,288,NA,NA,NA,1
289,chasem,chasem,harbison_chip,ESF2,YNR054C,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:55:33.667115-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/289.csv.gz,289,NA,NA,NA,1
290,chasem,chasem,harbison_chip,PUL4,YNR063W,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:55:34.285093-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/290.csv.gz,290,NA,NA,NA,1
293,chasem,chasem,harbison_chip,YAP7,YOL028C,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:55:36.434107-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/293.csv.gz,293,NA,NA,NA,1
296,chasem,chasem,harbison_chip,RTG1,YOL067C,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:55:38.683286-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/296.csv.gz,296,NA,NA,NA,1
297,chasem,chasem,harbison_chip,HAL9,YOL089C,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:55:39.309456-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/297.csv.gz,297,NA,NA,NA,1
298,chasem,chasem,harbison_chip,INO4,YOL108C,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:55:40.178526-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/298.csv.gz,298,NA,NA,NA,1
299,chasem,chasem,harbison_chip,MSN1,YOL116W,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:55:40.857585-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/299.csv.gz,299,NA,NA,NA,1
302,chasem,chasem,harbison_chip,CIN5,YOR028C,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:55:43.293158-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/302.csv.gz,302,NA,NA,NA,1
303,chasem,chasem,harbison_chip,HMS1,YOR032C,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:55:44.008189-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/303.csv.gz,303,NA,NA,NA,1
304,chasem,chasem,harbison_chip,HIR2,YOR038C,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:55:44.835803-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/304.csv.gz,304,NA,NA,NA,1
305,chasem,chasem,harbison_chip,RTS2,YOR077W,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:55:45.649410-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/305.csv.gz,305,NA,NA,NA,1
306,chasem,chasem,harbison_chip,AZF1,YOR113W,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:55:46.369837-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/306.csv.gz,306,NA,NA,NA,1
